rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
33,2007-05-27,VFF - FCN,1-2,4855,Emil Laursen,2006/2007,FCN,4216.444444444444,B,4468.058823529412,1,2,0,2006/2007,33,4855,2007,VFF-FCN,2057,2913,4388,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,33,27.05,VFF - FCN,VFF,FCN,1 - 2,4.855,Emil Laursen,27.05,27,5,2006,2007,2007,13660,2006/2007,1180278000,Pinsedag,1,7,Weekend,17,Aften,0,1,10.728571428571428,6.7,11.65,98.57142857142857,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,27/05/2007,1,2
33,2007-05-27,VFF - FCN,1-2,4855,Emil Laursen,2006/2007,FCN,4216.444444444444,B,4468.058823529412,1,2,0,2006/2007,33,4855,2007,VFF-FCN,2089,3386,4352,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,33,27.05,VFF - FCN,VFF,FCN,1 - 2,4.855,Emil Laursen,27.05,27,5,2006,2007,2007,13660,2006/2007,1180278000,Pinsedag,1,7,Weekend,17,Aften,0,1,10.728571428571428,6.7,11.65,98.57142857142857,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,27/05/2007,1,2
2,2007-07-22,VFF - EFB,0-5,3164,Henning Jensen,2007/2008,EFB,3417.842105263158,C,4416.375,0,5,1,2007/2008,2,3164,2007,VFF-EFB,1863,1958,2639,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,2,22.07,VFF - EFB,VFF,EFB,0 - 5,3.164,Henning Jensen,22.07,22,7,2007,2008,2007,13716,2007/2008,1185105600,Ingen,0,7,Weekend,14,Eftermiddag,0,0,18.042857142857144,2.05,4.050000000000001,91.42857142857143,Ingen regn før kamp,Tør dag,Varmt,Svag vind,Let vindstød,Overskyet,22/07/2007,0,5
5,2007-08-13,VFF - BIF,1-1,6984,Peter Rasmussen,2007/2008,BIF,6615.142857142857,A,4416.375,1,1,0,2007/2008,5,6984,2007,VFF-BIF,2654,4057,5798,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,5,13.08,VFF - BIF,VFF,BIF,1 - 1,6.984,Peter Rasmussen,13.08,13,8,2007,2008,2007,13738,2007/2008,1187024400,Ingen,0,1,Hverdag,19,Aften,0,2.4,19.17142857142857,6.2,10.3,7.142857142857143,Ingen regn før kamp,Lidt regn i løbet af dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,13/08/2007,1,1
6,2007-08-19,VFF - ACH,2-1,4259,Thomas Vejlgaard,2007/2008,ACH,3517.4285714285716,C,4416.375,2,1,1,2007/2008,6,4259,2007,VFF-ACH,1947,2715,3722,ACH,AC Horsens,Alliance Club Horsens,Horsens Idrætspark),Nordstern Arena Horsens,10495,6,19.08,VFF - ACH,VFF,ACH,2 - 1,4.259,Thomas Vejlgaard,19.08,19,8,2007,2008,2007,13744,2007/2008,1187532000,Ingen,0,7,Weekend,16,Eftermiddag,0,0,21.728571428571428,4.1,9.2,90,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Overskyet,19/08/2007,2,1
8,2007-09-01,VFF - AGF,2-0,4563,Emil Laursen,2007/2008,AGF,4917.59375,A,4416.375,2,0,2,2007/2008,8,4563,2007,VFF-AGF,1703,3253,3767,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,8,1.09,VFF - AGF,VFF,AGF,2 - 0,4.563,Emil Laursen,1.09,1,9,2007,2008,2007,13757,2007/2008,1188658800,Ingen,0,6,Weekend,17,Aften,0,0,15.442857142857143,6.2,11.350000000000001,87.85714285714286,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,01/09/2007,2,0
9,2007-09-16,VFF - LBK,2-1,4438,Henrik Kragh,2007/2008,LBK,2988.5294117647054,D,4416.375,2,1,2,2007/2008,9,4438,2007,VFF-LBK,1662,3293,3734,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,9,16.09,VFF - LBK,VFF,LBK,2 - 1,4.438,Henrik Kragh,16.09,16,9,2007,2008,2007,13772,2007/2008,1189951200,Ingen,0,7,Weekend,16,Eftermiddag,0,0,17.442857142857143,8.2,16.2,75.71428571428571,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Kraftige vindstød,Overskyet,16/09/2007,2,1
12,2007-10-06,VFF - BIF,1-2,6655,Claus Bo Larsen,2007/2008,BIF,6615.142857142857,A,4416.375,1,2,2,2007/2008,12,6655,2007,VFF-BIF,3038,3876,5882,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,12,6.1,VFF - BIF,VFF,BIF,1 - 2,6.655,Claus Bo Larsen,6.1,6,10,2007,2008,2007,13792,2007/2008,1191682800,Ingen,0,6,Weekend,17,Aften,0,0,14.17142857142857,0.5,0.8,11.428571428571429,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,06/10/2007,1,2
15,2007-11-05,VFF - OB,0-2,3059,Michael Johansen,2007/2008,OB,3524.217391304348,C,4416.375,0,2,1,2007/2008,15,3059,2007,VFF-OB,1220,1999,2560,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,15,5.11,VFF - OB,VFF,OB,0 - 2,3.059,Michael Johansen,5.11,5,11,2007,2008,2007,13822,2007/2008,1194285600,Ingen,0,1,Hverdag,19,Aften,0.8,2.2,8.842857142857143,5.1,10,91.42857142857143,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,05/11/2007,0,2
16,2007-11-12,VFF - AGF,0-2,4610,Henrik Kragh,2007/2008,AGF,4917.59375,A,4416.375,0,2,0,2007/2008,16,4610,2007,VFF-AGF,2074,3203,3647,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,16,12.11,VFF - AGF,VFF,AGF,0 - 2,4.61,Henrik Kragh,12.11,12,11,2007,2008,2007,13829,2007/2008,1194890400,Ingen,0,1,Hverdag,19,Aften,0,0,-0.6857142857142857,2.1,2.7,1.4285714285714286,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Solrigt,12/11/2007,0,2
19,2008-03-16,VFF - EFB,0-4,4472,Claus Bo Larsen,2007/2008,EFB,3417.842105263158,C,4416.375,0,4,0,2007/2008,19,4472,2008,VFF-EFB,1914,2784,3931,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,19,16.03,VFF - EFB,VFF,EFB,0 - 4,4.472,Claus Bo Larsen,16.03,16,3,2007,2008,2008,13954,2007/2008,1205679600,Ingen,0,7,Weekend,16,Eftermiddag,0,0,5.4714285714285715,0.75,3.1,97.14285714285714,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Overskyet,16/03/2008,0,4
20,2008-03-20,VFF - FCN,2-3,2952,Jesper Overgaard,2007/2008,FCN,4216.444444444444,B,4416.375,2,3,0,2007/2008,20,2952,2008,VFF-FCN,1235,1835,2368,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,20,20.03,VFF - FCN,VFF,FCN,2 - 3,2.952,Jesper Overgaard,20.03,20,3,2007,2008,2008,13958,2007/2008,1206025200,Skærtorsdag,1,4,Hverdag,16,Eftermiddag,0.4,0.6000000000000001,2.3285714285714287,5.1,9.3,94.28571428571429,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,20/03/2008,2,3
22,2008-03-31,VFF - FCK,2-3,5314,Anders Hermansen,2007/2008,FCK,5108.321428571429,A,4416.375,2,3,2,2007/2008,22,5314,2008,VFF-FCK,1838,3282,4307,FCK,FC København,Football Club København,Parken,Parken,38065,22,31.03,VFF - FCK,VFF,FCK,2 - 3,5.314,Anders Hermansen,31.03,31,3,2007,2008,2008,13969,2007/2008,1206982800,Ingen,0,1,Hverdag,19,Aften,0,0.4,8.857142857142858,2.05,3.35,92.85714285714286,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Svag vind,Let vindstød,Overskyet,31/03/2008,2,3
24,2008-04-14,VFF - ACH,1-3,3671,Emil Laursen,2007/2008,ACH,3517.4285714285716,C,4416.375,1,3,2,2007/2008,24,3671,2008,VFF-ACH,1421,2418,2768,ACH,AC Horsens,Alliance Club Horsens,Horsens Idrætspark),Nordstern Arena Horsens,10495,24,14.04,VFF - ACH,VFF,ACH,1 - 3,3.671,Emil Laursen,14.04,14,4,2007,2008,2008,13983,2007/2008,1208192400,Ingen,0,1,Hverdag,19,Aften,0,0,8.266666666666666,5.1,8.2,20,Ingen regn før kamp,Tør dag,Koldt,Mellem vind,Mellem vindstød,Solrigt,14/04/2008,1,3
25,2008-04-20,VFF - FCM,1-1,4742,Michael Johansen,2007/2008,FCM,5296.0526315789475,A,4416.375,1,1,1,2007/2008,25,4742,2008,VFF-FCM,2178,3297,4196,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,25,20.04,VFF - FCM,VFF,FCM,1 - 1,4.742,Michael Johansen,20.04,20,4,2007,2008,2008,13989,2007/2008,1208700000,Ingen,0,7,Weekend,16,Eftermiddag,0,0,13.9,3.1,6.7,2.857142857142857,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,20/04/2008,1,1
28,2008-05-04,VFF - AaB,0-1,5757,Michael Svendsen,2007/2008,AaB,4740.379310344828,A,4416.375,0,1,1,2007/2008,28,5757,2008,VFF-AaB,2759,3816,4980,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,28,4.05,VFF - AaB,VFF,AaB,0 - 1,5.757,Michael Svendsen,4.05,4,5,2007,2008,2008,14003,2007/2008,1209916800,Ingen,0,7,Weekend,18,Aften,0,0,17.985714285714284,0.75,7.2,13.571428571428571,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,04/05/2008,0,1
30,2008-05-12,VFF - LBK,3-2,3021,Jesper Overgaard,2007/2008,LBK,2988.5294117647054,D,4416.375,3,2,0,2007/2008,30,3021,2008,VFF-LBK,1283,1952,2635,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,30,12.05,VFF - LBK,VFF,LBK,3 - 2,3.021,Jesper Overgaard,12.05,12,5,2007,2008,2008,14011,2007/2008,1210600800,2. Pinsedag,1,1,Hverdag,16,Eftermiddag,0,0,18.457142857142856,4.85,9.3,0,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,12/05/2008,3,2
32,2008-05-18,VFF - RFC,0-1,3001,Michael Svendsen,2007/2008,RFC,5100.875,A,4416.375,0,1,3,2007/2008,32,3001,2008,VFF-RFC,1350,1854,2656,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,32,18.05,VFF - RFC,VFF,RFC,0 - 1,3.001,Michael Svendsen,18.05,18,5,2007,2008,2008,14017,2007/2008,1211115600,Ingen,0,7,Weekend,15,Eftermiddag,0,0,11.6,3.35,7.45,28.571428571428573,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,18/05/2008,0,1
1,2013-07-20,VFF - RFC,2-2,4771,Michael Johansen,2013/2014,RFC,5100.875,A,5615.6875,2,2,0,2013/2014,1,4771,2013,VFF-RFC,2423,3121,4080,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,1,20.07,VFF - RFC,VFF,RFC,2 - 2,4.771,Michael Johansen,20.07,20,7,2013,2014,2013,15906,2013/2014,1374332400,Ingen,0,6,Weekend,17,Aften,0,0,26.385714285714286,5.95,9.55,10,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,20/07/2013,2,2
4,2013-08-09,VFF - BIF,2-2,9047,Lars Christoffersen,2013/2014,BIF,6615.142857142857,A,5615.6875,2,2,2,2013/2014,4,9047,2013,VFF-BIF,4742,5487,7410,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,4,9.08,VFF - BIF,VFF,BIF,2 - 2,9.047,Lars Christoffersen,9.08,9,8,2013,2014,2013,15926,2013/2014,1376065800,Ingen,0,5,Hverdag,18,Aften,0,0,20.457142857142856,4.6,8.2,NA,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,NA,09/08/2013,2,2
6,2013-08-25,VFF - EFB,3-1,5166,Jakob Kehlet,2013/2014,EFB,3417.842105263158,C,5615.6875,3,1,2,2013/2014,6,5166,2013,VFF-EFB,2033,3196,4524,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,6,25.08,VFF - EFB,VFF,EFB,3 - 1,5.166,Jakob Kehlet,25.08,25,8,2013,2014,2013,15942,2013/2014,1377435600,Ingen,0,7,Weekend,15,Eftermiddag,0,0,21.442857142857143,5.1,9.3,25,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,25/08/2013,3,1
7,2013-09-01,VFF - FCK,1-4,8212,Kenn Hansen,2013/2014,FCK,5108.321428571429,A,5615.6875,1,4,3,2013/2014,7,8212,2013,VFF-FCK,3647,5597,7398,FCK,FC København,Football Club København,Parken,Parken,38065,7,1.09,VFF - FCK,VFF,FCK,1 - 4,8.212,Kenn Hansen,1.09,1,9,2013,2014,2013,15949,2013/2014,1378047600,Ingen,0,7,Weekend,17,Aften,0.8,9.8,12.985714285714286,6.2,10.850000000000001,90,Let regn før kamp,Våd dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,01/09/2013,1,4
10,2013-09-27,VFF - FCV,2-0,4532,Kenn Hansen,2013/2014,FCV,4376.5,B,5615.6875,2,0,1,2013/2014,10,4532,2013,VFF-FCV,2320,2953,3651,FCV,FC Vestsjælland,Football Club Vestsjælland,Slagelse Stadion,Harboe Arena Slagelse,10000,10,27.09,VFF - FCV,VFF,FCV,2 - 0,4.532,Kenn Hansen,27.09,27,9,2013,2014,2013,15975,2013/2014,1380299400,Ingen,0,5,Hverdag,18,Aften,0,0,12.957142857142857,3.1,5.1,NA,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,NA,27/09/2013,2,0
13,2013-10-25,VFF - FCV,4-1,4221,Peter KjÃ¦rsgaard,2013/2014,FCV,4376.5,B,5615.6875,4,1,2,2013/2014,13,4221,2013,VFF-FCV,1798,2712,3528,FCV,FC Vestsjælland,Football Club Vestsjælland,Slagelse Stadion,Harboe Arena Slagelse,10000,13,25.1,VFF - FCV,VFF,FCV,4 - 1,4.221,Peter KjÃ¦rsgaard,25.1,25,10,2013,2014,2013,16003,2013/2014,1382718600,Ingen,0,5,Hverdag,18,Aften,0,0,11.385714285714286,5.1,10.3,NA,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,NA,25/10/2013,4,1
15,2013-11-08,VFF - FCM,2-3,7563,Anders Poulsen,2013/2014,FCM,5296.0526315789475,A,5615.6875,2,3,4,2013/2014,15,7563,2013,VFF-FCM,3384,4688,6403,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,15,8.11,VFF - FCM,VFF,FCM,2 - 3,7.563,Anders Poulsen,8.11,8,11,2013,2014,2013,16017,2013/2014,1383931800,Ingen,0,5,Hverdag,18,Aften,0,1.7999999999999998,6.828571428571428,2.6,4.6,NA,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Svag vind,Let vindstød,NA,08/11/2013,2,3
17,2013-11-30,VFF - SJF,2-2,3478,Lars Christoffersen,2013/2014,SJF,3854.4166666666665,C,5615.6875,2,2,2,2013/2014,17,3478,2013,VFF-SDR,1550,2344,2827,NA,NA,NA,NA,NA,NA,17,30.11,VFF - SJF,VFF,SJF,2 - 2,3.478,Lars Christoffersen,30.11,30,11,2013,2014,2013,16039,2013/2014,1385827200,Ingen,0,6,Weekend,17,Aften,0,0,2.7857142857142856,3.1,5.15,40,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Let overskyet,30/11/2013,2,2
19,2014-02-23,VFF - RFC,1-1,4546,Kenn Hansen,2013/2014,RFC,5100.875,A,5615.6875,1,1,2,2013/2014,19,4546,2014,VFF-RFC,1838,3147,4001,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,19,23.02,VFF - RFC,VFF,RFC,1 - 1,4.546,Kenn Hansen,23.02,23,2,2013,2014,2014,16124,2013/2014,1393160400,Ingen,0,7,Weekend,14,Eftermiddag,0,0,8.342857142857143,6.95,13.4,100,Ingen regn før kamp,Tør dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,23/02/2014,1,1
21,2014-03-09,VFF - EFB,1-3,3834,Dennis Mogensen,2013/2014,EFB,3417.842105263158,C,5615.6875,1,3,1,2013/2014,21,3834,2014,VFF-EFB,1638,2269,3206,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,21,9.03,VFF - EFB,VFF,EFB,1 - 3,3.834,Dennis Mogensen,9.03,9,3,2013,2014,2014,16138,2013/2014,1394370000,Ingen,0,7,Weekend,14,Eftermiddag,0,0,14.285714285714286,6.7,10.55,0,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Solrigt,09/03/2014,1,3
24,2014-03-30,VFF - BIF,0-1,7736,Peter KjÃ¦rsgaard,2013/2014,BIF,6615.142857142857,A,5615.6875,0,1,1,2013/2014,24,7736,2014,VFF-BIF,3470,4905,6957,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,24,30.03,VFF - BIF,VFF,BIF,0 - 1,7.736,Peter KjÃ¦rsgaard,30.03,30,3,2013,2014,2014,16159,2013/2014,1396191600,Ingen,0,7,Weekend,17,Aften,0,0,14.128571428571428,1.5,4.35,1.4285714285714286,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,30/03/2014,0,1
25,2014-04-06,VFF - OB,2-2,4079,Mads Kristoffersen,2013/2014,OB,3524.217391304348,C,5615.6875,2,2,0,2013/2014,25,4079,2014,VFF-OB,1749,2585,3501,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,25,6.04,VFF - OB,VFF,OB,2 - 2,4.079,Mads Kristoffersen,6.04,6,4,2013,2014,2014,16166,2013/2014,1396785600,Ingen,0,7,Weekend,14,Eftermiddag,0,0,13.114285714285714,4.6,7.949999999999999,100,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Let vindstød,Overskyet,06/04/2014,2,2
27,2014-04-16,VFF - AaB,0-2,6803,Jakob Kehlet,2013/2014,AaB,4740.379310344828,A,5615.6875,0,2,2,2013/2014,27,6803,2014,VFF-AaB,3451,4117,5995,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,27,16.04,VFF - AaB,VFF,AaB,0 - 2,6.803,Jakob Kehlet,16.04,16,4,2013,2014,2014,16176,2013/2014,1397671200,Ingen,0,3,Hverdag,20,Aften,0,0,10.314285714285715,5.15,8.25,25.714285714285715,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Solrigt,16/04/2014,0,2
29,2014-04-27,VFF - AGF,0-3,6434,Michael Tykgaard,2013/2014,AGF,4917.59375,A,5615.6875,0,3,0,2013/2014,29,6434,2014,VFF-AGF,2737,3770,5852,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,29,27.04,VFF - AGF,VFF,AGF,0 - 3,6.434,Michael Tykgaard,27.04,27,4,2013,2014,2014,16187,2013/2014,1398600000,Ingen,0,7,Weekend,14,Eftermiddag,0,0,19.2,5.15,9.8,0,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,27/04/2014,0,3
31,2014-05-08,VFF - FCK,0-2,4701,Jens Maae,2013/2014,FCK,5108.321428571429,A,5615.6875,0,2,0,2013/2014,31,4701,2014,VFF-FCK,2011,2968,4069,FCK,FC København,Football Club København,Parken,Parken,38065,31,8.05,VFF - FCK,VFF,FCK,0 - 2,4.701,Jens Maae,8.05,8,5,2013,2014,2014,16198,2013/2014,1399564800,Ingen,0,4,Hverdag,18,Aften,0,5.3,12.542857142857143,5.7,8.5,97.14285714285714,Ingen regn før kamp,Våd dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,08/05/2014,0,2
32,2014-05-11,VFF - FCN,1-3,4728,Jakob Kehlet,2013/2014,FCN,4216.444444444444,B,5615.6875,1,3,0,2013/2014,32,4728,2014,VFF-FCN,2297,3127,4223,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,32,11.05,VFF - FCN,VFF,FCN,1 - 3,4.728,Jakob Kehlet,11.05,11,5,2013,2014,2014,16201,2013/2014,1399820400,Ingen,0,7,Weekend,17,Aften,2.8000000000000003,8.3,11.128571428571428,3.35,7.2,100,Let regn før kamp,Våd dag,Mildt,Svag vind,Let vindstød,Overskyet,11/05/2014,1,3
2,2015-07-27,VFF - AGF,0-0,6318,Michael Tykgaard,2015/2016,AGF,4917.59375,A,4603.375,0,0,1,2015/2016,2,6318,2015,VFF-AGF,2500,4415,5457,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,2,27.07,VFF - AGF,VFF,AGF,0 - 0,6.318,Michael Tykgaard,27.07,27,7,2015,2016,2015,16643,2015/2016,1438016400,Ingen,0,1,Hverdag,19,Aften,0,0,15.285714285714286,4.1,7.949999999999999,100,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Let vindstød,Overskyet,27/07/2015,0,0
3,2015-07-31,VFF - EFB,2-1,3557,JÃ¸rgen Daugbjerg,2015/2016,EFB,3417.842105263158,C,4603.375,2,1,0,2015/2016,3,3557,2015,VFF-EFB,1593,1936,2864,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,3,31.07,VFF - EFB,VFF,EFB,2 - 1,3.557,JÃ¸rgen Daugbjerg,31.07,31,7,2015,2016,2015,16647,2015/2016,1438358400,Ingen,0,5,Hverdag,18,Aften,0,0,14.557142857142857,7.45,12.350000000000001,91.42857142857143,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,31/07/2015,2,1
5,2015-08-16,VFF - BIF,0-4,7747,Anders Poulsen,2015/2016,BIF,6615.142857142857,A,4603.375,0,4,2,2015/2016,5,7747,2015,VFF-BIF,2869,4644,6642,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,5,16.08,VFF - BIF,VFF,BIF,0 - 4,7.747,Anders Poulsen,16.08,16,8,2015,2016,2015,16663,2015/2016,1439733600,Ingen,0,7,Weekend,16,Eftermiddag,0,0,22.285714285714285,3.5999999999999996,6.45,100,Ingen regn før kamp,Tør dag,Varmt,Svag vind,Let vindstød,Overskyet,16/08/2015,0,4
8,2015-09-12,VFF - FCN,0-1,3254,Kenn Hansen,2015/2016,FCN,4216.444444444444,B,4603.375,0,1,0,2015/2016,8,3254,2015,VFF-FCN,1660,2008,2866,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,8,12.09,VFF - FCN,VFF,FCN,0 - 1,3.254,Kenn Hansen,12.09,12,9,2015,2016,2015,16690,2015/2016,1442066400,Ingen,0,6,Weekend,16,Eftermiddag,0,0,17.714285714285715,6.2,11.05,57.857142857142854,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,12/09/2015,0,1
10,2015-09-25,VFF - AaB,1-0,5137,Peter Rasmussen,2015/2016,AaB,4740.379310344828,A,4603.375,1,0,0,2015/2016,10,5137,2015,VFF-AaB,2240,2854,4485,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,10,25.09,VFF - AaB,VFF,AaB,1 - 0,5.137,Peter Rasmussen,25.09,25,9,2015,2016,2015,16703,2015/2016,1443204000,Ingen,0,5,Hverdag,20,Aften,0,0.5,12.257142857142856,3.1,5.65,8.571428571428571,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Svag vind,Let vindstød,Solrigt,25/09/2015,1,0
12,2015-10-18,VFF - BIF,0-2,5691,Mads Kristoffersen,2015/2016,BIF,6615.142857142857,A,4603.375,0,2,1,2015/2016,12,5691,2015,VFF-BIF,2424,3399,4841,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,12,18.1,VFF - BIF,VFF,BIF,0 - 2,5.691,Mads Kristoffersen,18.1,18,10,2015,2016,2015,16726,2015/2016,1445176800,Ingen,0,7,Weekend,16,Eftermiddag,0,0,12.414285714285715,4.1,6.95,14.285714285714286,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Let vindstød,Solrigt,18/10/2015,0,2
13,2015-10-24,VFF - EFB,4-2,3495,Jens Maae,2015/2016,EFB,3417.842105263158,C,4603.375,4,2,0,2015/2016,13,3495,2015,VFF-EFB,1350,2083,2849,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,13,24.1,VFF - EFB,VFF,EFB,4 - 2,3.495,Jens Maae,24.1,24,10,2015,2016,2015,16732,2015/2016,1445695200,Ingen,0,6,Weekend,16,Eftermiddag,0,0,11.271428571428572,4.1,7.45,100,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Let vindstød,Overskyet,24/10/2015,4,2
15,2015-11-08,VFF - OB,0-1,3803,Peter KjÃ¦rsgaard,2015/2016,OB,3524.217391304348,C,4603.375,0,1,4,2015/2016,15,3803,2015,VFF-OB,1710,2276,3341,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,15,8.11,VFF - OB,VFF,OB,0 - 1,3.803,Peter KjÃ¦rsgaard,8.11,8,11,2015,2016,2015,16747,2015/2016,1446985800,Ingen,0,7,Weekend,13,Eftermiddag,0,0,12.814285714285715,4.1,7.2,18.571428571428573,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Let vindstød,Solrigt,08/11/2015,0,1
